product_name,brand,unit,product_type,price_per_unit,currency
Timberline HDZ Barkwood Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle),GAF,bundle,Roofing,44.47,USD
Timberline HDZ Pewter Gray Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle),GAF,bundle,Roofing,44.47,USD
Timberline Natural Shadow Barkwood Laminated Architectural Shingles (33.3 sq. ft. per Bundle) (21-pieces),GAF,bundle,Roofing,N/A,USD
Seal-A-Ridge Weathered Wood Hip and Ridge Cap Roofing Shingles (25 lin. ft. per Bundle),GAF,bundle,Roofing,59.97,USD
Pro-Start 120 lin. ft. Eave and Rake Roofing Starter Strip Shingles,GAF,bundle,Roofing,54.97,USD
IKO Cambridge Asphalt Architectural Shingles - 30 Year Warranty Dual Gray (3 BD/SQ),IKO,bundle,Roofing,N/A,USD
Titan XT Thunderstorm Grey Premium Architectural Shingles (Avg. 32.8 sq. ft. Per Bundle),Tamko,bundle,Roofing,37.97,USD
QuickStart 33 lin. ft. Peel and Stick Roofing Starter Shingle Roll,GAF,roll,Roofing,30.97,USD
Titan XT Glacier White Premium Architectural Shingles (Avg. 32.8 sq. ft. Per Bundle),Tamko,bundle,Roofing,0.98,USD
Camelot II Antique Slate Designer Laminated Architectural Shingles (25 sq. ft. per Bundle) (14-pieces),GAF,bundle,Roofing,51.25,USD
Pinnacle Scotchgard HP42 Asphalt Architectural Shingles - Pristine Pearl 618H013 (3 BD/SQ),Atlas,bundle,Roofing,N/A,USD
IKO Cambridge Asphalt Architectural Shingles - 30 Year Warranty Dual Black (3 BD/SQ),IKO,bundle,Roofing,N/A,USD
Timberline UHDZ Weathered Wood Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle) (21-Pieces),GAF,bundle,Roofing,74.54,USD
Roofing Combo: Shingles, StormGuard, Pro-Start, FeltBuster, GAF,package,Roofing,395.41,USD
WeatherBlocker 50 lin. ft. Premium Eave and Rake Roofing Starter Strip Shingles,GAF,box,Roofing,66.51,USD
3 in. x 10 ft. White Vinyl Drip Edge Flashing,Amerimax Home Products,piece,Roofing,6.98,USD
F5M x 10 ft. White Aluminum Drip Edge Flashing,Amerimax Home Products,piece,Roofing,10.98,USD
C3 x 10 ft. Mill Finish Aluminum Drip Edge Flashing,Amerimax Home Products,piece,Roofing,4.98,USD
4-1/2 in. x 10 ft. Drip Edge Galv Green,Union Corrugating,piece,Roofing,8.48,USD
F5 x 10 ft. Heavy Duty Mill Finish Galvanized Steel Drip Edge Flashing,Amerimax Home Products,piece,Roofing,5.98,USD
F8 x 10 ft. Mill Finish Aluminum Drip Edge Flashing,Amerimax Home Products,piece,Roofing,11.68,USD
F8 - 6 in. x 1 in. x 10 ft. White Premium Aluminum Drip Edge Flashing Open-Face,Hemmed,Amerimax Home Products,piece,Roofing,14.38,USD
F8 x 10 ft. Mill Finish Galvanized Steel Drip Edge Flashing,Amerimax Home Products,piece,Roofing,7.98,USD
C6 x 10 ft. White Aluminum Drip Edge Flashing,Amerimax Home Products,piece,Roofing,23.0,USD
4.5 in. x 10 ft. Brown Drip Edge,Union Corrugating,piece,Roofing,8.98,USD
10 ft. 29-Gauge Galvalume EF3 Eave Flashing in White,Gibraltar Building Products,piece,Roofing,24.13,USD
1.25 in. x 10 ft. White Aluminum Z Bar Flashing,Amerimax Home Products,piece,Roofing,2.98,USD
4-1/2-INX10-FT DRIP EDGE GALV WHITE,Union Corrugating,piece,Roofing,8.48,USD
10 ft. 29-Gauge Galvalume GR2 Gable Rake Flashing,Gibraltar Building Products,piece,Roofing,34.98,USD
Shelterguard CE1 3 in. x 10.5 ft. Steel Trim Eave Flashing in Evergreen,N/A,piece,Roofing,32.0,USD
Shelterguard CE1 3 in. x 10.5 ft. Steel Trim Eave Flashing in Cocoa Brown,N/A,piece,Roofing,32.0,USD
Shelterguard AC1 4.375 in. x 10.5 ft. 6 in. Steel Corner Gable Flashing in Cocoa Brown,N/A,piece,Roofing,33.0,USD
Shelterguard AC1 4.375 in. x 10.5 ft. Steel Corner Gable Flashing in Evergreen,N/A,piece,Roofing,33.0,USD
F5M 2-3/8 in. x 1-1/2 in. x 10 ft. Brown Galvanized Steel Drip Edge Flashing,Amerimax Home Products,piece,Roofing,N/A,USD
Shelterguard CE1 3 in. x 10.5 ft. Steel Trim Eave Flashing in Brick Red,N/A,piece,Roofing,32.25,USD
C3 galvanized Drip Edge,Amerimax Home Products,piece,Roofing,N/A,USD
No-Calk 8-3/4 in. x 12-1/2 in. Galvanized Steel Drip Edge Vent Pipe Roof Flashing,Oatey,piece,Roofing,7.74,USD
No-Calk 10-3/4 in. x 14-1/2 in. Galvanized Steel Drip Edge Vent Pipe Roof Flashing with 2-1/2 in. Diameter,Oatey,piece,Roofing,10.26,USD
No-Calk 9-1/4 in x 13 in. Plastic Drip Edge Vent Pipe Roof Flashing with 1.25 in. - 1.5 in. Adjustable Diameter,Oatey,piece,Roofing,4.19,USD
FeltBuster 1000 sq. ft. Synthetic Roofing Underlayment Roll,GAF,roll,Roofing,107,USD
4 ft. x 250 ft. Synthetic Roofing Underlayment - Contractor Grade,Everbilt,roll,Roofing,74.98,USD
ProArmor 1001 sq. ft. Synthetic Roof Underlayment Roll,Owens Corning,roll,Roofing,139,USD
Synthetic Roofing Underlayment - Contractor Grade 400 sq. ft. (4 ft. x 100 ft.),Everbilt,roll,Roofing,34.98,USD
Tiger Paw 1000 sq. ft. Premium Synthetic Roofing Underlayment Roll,GAF,roll,Roofing,195.6,USD
StormGuard 200 sq. ft. Synthetic Patterned-Surface Peel and Stick Roof Leak Barrier Roll,GAF,roll,Roofing,129,USD
216 sq. ft. Felt Roof Underlayment,N/A,roll,Roofing,35.98,USD
Synthetic Roofing Runner 10 sq. ft. Roof Underlayment,CertainTeed,roll,Roofing,159.72,USD
4 ft. x 250 ft. Synthetic Roofing Underlayment - Premium Grade,Everbilt,roll,Roofing,129,USD
Grace Ice and Water Shield 36 in. x 75 ft. Roll Self-Adhered Roofing Underlayment (225 sq. ft.),GCP Applied Technologies,roll,Roofing,199,USD
EXO25 1000 sq. ft. Synthetic Roofing Underlayment Roll,Stinger,roll,Roofing,115.53,USD
Deck Defense 42 in. x 143 ft. Waterproof Synthetic Roof Underlayment Roll, Class-A Fire Rated (500 sq. ft. 5 SQ Roll),Owens Corning,roll,Roofing,99,USD
36 in. x 67 ft. (201 sq. ft.) High Temperature Self-Adhering Synthetic Roofing Underlayment,Grip-Rite,roll,Roofing,154.95,USD
Deck-Armor 1000 sq. ft Premium Breathable Synthetic Roofing Underlayment Roll,GAF,roll,Roofing,349,USD
EXO25 Fit 500 sq. ft. 24 in. Wide Synthetic Roofing Underlayment Roll,Stinger,roll,Roofing,47.1,USD
WeatherWatch 36 in. x 50 ft., 150 sq. ft. Mineral-Surfaced Peel and Stick Roof Leak Barrier Roll,GAF,roll,Roofing,89.97,USD
42 in. x 286 ft. Tyvek Roof Protector Underlayment,DuPont,roll,Roofing,108,USD
20 synthetic underlayment 1000 sq. ft. 4 ft. x 250 ft.,N/A,roll,Roofing,89.98,USD
Grace Select 36 in. x 65 ft. Roll Self Adhered Roofing Underlayment (195 sq. ft.),GCP Applied Technologies,roll,Roofing,123.82,USD
EXO35 1000 sq. ft. Synthetic Roofing Underlayment Roll,Stinger,roll,Roofing,139.12,USD
WeatherWatch 200 sq. ft. Mineral-Surfaced Peel and Stick Roof Leak Barrier Roll,GAF,roll,Roofing,119,USD
EXO50 1000 sq. ft. Premium Synthetic Roofing Underlayment Roll,Stinger,roll,Roofing,176.88,USD
Shingle-Mate 432 sq. ft. Fiberglass-Reinforced Roofing Underlayment Roll,GAF,roll,Roofing,97.46,USD
Pro Synthetic Underlayment 1000 sq. ft. 4 ft. x 250 ft.,N/A,roll,Roofing,82.94,USD
"1/2 in. x 4 ft. x 8 ft. TE Lite-Weight Gypsum Board",ToughRock,sheet,Interior,18.98,USD
"1/2 in. x 23-5/8 in. x 23-5/8 in. Patch and Repair Drywall",USG Sheetrock Brand,sheet,Interior,7.98,USD
"1/2 in. x 4 ft. x 8 ft. Mold and Moisture-Resistant Gypsum Board",ToughRock,sheet,Interior,21.98,USD
"5/8 in. x 4 ft. x 8 ft. Firecode X Drywall",USG Sheetrock Brand,sheet,Interior,22.48,USD
"1/2 in. x 4 ft. x 10 ft. TE Lite-Weight Gypsum Board",ToughRock,sheet,Interior,23.73,USD
"1/2 in. Corner-Back Drywall Back-up Clips (50-Pack)",N/A,pack,Interior,36.79,USD
"Professional Drywall Repair 1/2 Inch Stainless Steel Drywall Repair Clips with 24 Screws 12-Pack",Laybus,pack,Interior,54.98,USD
"1/2 in. Insta-Back Drywall Repair Clips (50-Pack)",N/A,pack,Interior,36.85,USD
"1/4 in. x 4 ft. x 8 ft. Drywall",USG Sheetrock Brand,sheet,Interior,19.76,USD
"0.5 in. x 1/2 ft. x 0.5 ft. Drywall Patching Panel for Wall Repair (4-Pack), Made of Plasterboard, Easy to Use",Laybus,pack,Interior,65.25,USD
"1/2 in. x 4.5 ft. x 12 ft. UltraLight Imperial Gypsum Base",USG Sheetrock Brand,sheet,Interior,N/A,USD
"2-1/16 in. x 250 ft. Paper Drywall Joint Tape",USG Sheetrock Brand,roll,Interior,4.57,USD
"1/2 in. x 4 ft. x 12 ft. TE Lite-Weight Gypsum Board",ToughRock,sheet,Interior,28.47,USD
"#8 x 2 1/2 in. Phillips Bugle head Drywall Screws (5 lb. box)",Grabber,box,Interior,35.97,USD
"Pro Grade Precision 4 1/2 in. x 2 1/2 in. x 1 in. 120 Grit Fine Single Angled Drywall Sanding Sponge (2-Pack)",N/A,pack,Interior,10.8,USD
"0.5 in. x 12 in. x 12 in. Plasterboard Drywall Patching Panel with Easy to Install and Strong Plasterboard, 2-Pack",Laybus,pack,Interior,68.98,USD
"32-Pack Stainless Steel Drywall Repair Clips, 1/2 in. Drywall Fastener Clip with 64 Screws, Wall Patch Clips",xinyoec,pack,Interior,77.98,USD
"Stainless Steel Drywall Repair Clips, Drywall Fastner Clips with 120 Screws for 1/2 in. and 5/8 in. Panels (60-Pack)",xinyoec,pack,Interior,116.41,USD
"1/2 in. x 8 ft. Vinyl J Trim Drywall Corner Bead Trim",Phillips Manufacturing Company,piece,Interior,61.64,USD
"0.5 in. x 1 ft. x 1 ft. Drywall Repair Panel Drywall for Mend Wall (2-Pack)",NVNOO,pack,Interior,52.98,USD
"0.5 in. x 1 ft. x 1 ft. Drywall Patching Panel for Wall Repair (4-Pack), Made of Plasterboard, Easy to Use",Laybus,pack,Interior,92.99,USD
"1/2 in. x 1 ft. x 1 ft. Green Drywall Patching Panel, Drywall Repair Panel for Mend Wall (2-Pack)",xinyoec,pack,Interior,71.08,USD
"4-Piece 1/2 in. x 1 ft. x 1 ft. Drywall Patching Panel, Drywall Repair Panel for Wall Repair",xinyoec,pack,Interior,97.75,USD
"1/2 in. x 0.7 ft. x 3.6 ft. 6 Variable Speed Electric Drywall Sander with Vacuum Dust Collection, 1900RPM Sander Tool",maocao hoom,each,Interior,257.07,USD
"4.5 gal. All Purpose Ready-Mixed Joint Compound","USG Sheetrock Brand",pail,Interior,25.48,USD
"18 lb. Easy Sand 5 Lightweight Setting-Type Joint Compound","USG Sheetrock Brand",bag,Interior,14.75,USD
"Easy Sand 5, 3 lb. Setting-Type Joint Compound for Interior and Exterior Ceiling Boards","USG Sheetrock Brand",bag,Interior,9.43,USD
"4.5 gal. Plus 3 Ready-Mixed Joint Compound","USG Sheetrock Brand",pail,Interior,25.48,USD
"4.5 gal. UltraLightweight Ready-Mixed Joint Compound","USG Sheetrock Brand",pail,Interior,25.48,USD
"DryDex 32 oz. Premium Lightweight Low Dust Joint Compound",DAP,tub,Interior,6.98,USD
"3.5 qt. All Purpose Ready-Mixed Joint Compound","USG Sheetrock Brand",tub,Interior,11.75,USD
"4.5 gal. Midweight Ready-Mixed Joint Compound","USG Sheetrock Brand",pail,Interior,25.48,USD
"3.5 qt. Dust Control Ready-Mixed Joint Compound","USG Sheetrock Brand",tub,Interior,12.45,USD
"1.75 pt. All Purpose Ready-Mixed Joint Compound","USG Sheetrock Brand",tub,Interior,6.35,USD
"3.5 gal. Dust Control Ready-Mixed Joint Compound","USG Sheetrock Brand",pail,Interior,25.48,USD
"18 lb. Easy Sand 20 Lightweight Setting-Type Joint Compound","USG Sheetrock Brand",bag,Interior,14.75,USD
"18 lb. Easy Sand 45 Lightweight Setting-Type Joint Compound","USG Sheetrock Brand",bag,Interior,14.75,USD
"1 qt. PatchPro Premixed Patching Compound",DRICORE,tub,Interior,20.02,USD
"25 lb. Durabond 90 Setting-Type Joint Compound","USG Sheetrock Brand",bag,Interior,17.28,USD
"18 lb. Easy Sand 90 Lightweight Setting-Type Joint Compound","USG Sheetrock Brand",bag,Interior,14.75,USD
"25 lbs. One Pass Wall Repair and Powder Joint Compound","Rapid Set",bag,Interior,19.97,USD
"R-15 Faced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bags)",Owens Corning,bag,Interior,62.27,USD
"R-15 Kraft Faced Fiberglass Insulation Batt 15 in. W x 93 in. L",Johns Manville,batt,Interior,N/A,USD
"R- 15 Faced Fiberglass Insulation Roll 15 in. x 24 ft. (1 Roll)",Owens Corning,roll,Interior,37.3,USD
"15 in. x 47 in. R15 Thermafiber Fire and Sound Guard Plus Mineral Wool Insulation Batt",Owens Corning,batt,Interior,71.87,USD
"R15 Kraft Faced 15 in. x 93 in. Precut Fiberglass Insulation Batts for 2x4 Wall - Sound-Reducing and USA Made (1-Bag)",Knauf Insulation,bag,Interior,71.27,USD
"R-15 Unfaced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bag)",Owens Corning,bag,Interior,83.47,USD
"R- 13 Faced Fiberglass Insulation Roll 15 in. x 32 ft. (1 Roll)",Owens Corning,roll,Interior,27.97,USD
"R-15 Comfortbatt 3-1/2 in. x 15 in. x 47 in. Fire Resistant Stone Wool Insulation Batt (59.7 sq. ft.)",ROCKWOOL,batt,Interior,79.98,USD
"R-15 Kraft Faced Fiberglass Insulation Batt 15 in. x 93 in. (10-Bags)",Owens Corning,bag,Interior,643.39,USD
"R-21 Faced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bag)",Owens Corning,bag,Interior,86.57,USD
"R13 Kraft Faced 15 in. x 32 ft. Fiberglass Insulation Roll for 2x4 Wall - Sound-Reducing and Made in America (1-Roll)",Knauf Insulation,roll,Interior,27.97,USD
"R- 19 Faced Fiberglass Insulation Roll 15 in. x 39.2 ft. (1 Roll)",Owens Corning,roll,Interior,50.57,USD
"R19 Kraft Faced 15 in. x 39.2 ft. Fiberglass Insulation Roll for Floor, 2x6 Wall - Sound-Reducing, USA Made (1-Roll)",Knauf Insulation,roll,Interior,37.25,USD
"R-13 Kraft Faced Fiberglass Insulation Roll 15 in. W x 32 ft. L",Johns Manville,roll,Interior,N/A,USD
"R15 Kraft Faced 15 in. x 93 in. Precut Fiberglass Insulation Batts for 2x4 Wall - Sound-Reducing and USA Made (15-Bags)",Knauf Insulation,bag,Interior,1314,USD
"R-13 Kraft Faced Fiberglass Insulation Batt 15 in. W x 93 in. L",Johns Manville,batt,Interior,N/A,USD
"R13 Kraft Faced 15 in. x 93 in. Precut Fiberglass Insulation Batts for 2x4 Wall - Sound-Reducing and USA Made (1-Bag)",Knauf Insulation,bag,Interior,92.67,USD
"R-15 Unfaced Fiberglass Insulation Batt 15 in. x 93 in. (10-Bags)",Owens Corning,bag,Interior,873.46,USD
"R-15 Unfaced Fiberglass Insulation Batt 15 in. x 93 in.",N/A,batt,Interior,107,USD
"R-13 Kraft Faced Fiberglass Insulation Batt 15 in. x 93 in.",Owens Corning,batt,Interior,84.97,USD
"R- 30 Unfaced Fiberglass Insulation Roll 15 in. x 25 ft. (1 Roll)",Owens Corning,roll,Interior,48.87,USD
"R30 Unfaced 15 in. x 22 ft. Fiberglass Insulation Roll for Floor, Attic - Class A Fire-Rated and Made in USA (1-Roll)",Knauf Insulation,roll,Interior,30.99,USD
"R15 Kraft Faced 15 in. x 18 ft. Fiberglass Insulation Rolls for 2x4 Wall - Sound-Reducing and Made in USA (27-Rolls)",Knauf Insulation,roll,Interior,746.21,USD
"R-13 Kraft Faced Fiberglass Insulation Fiberglass Insulation Batt 15 in. x 93 in. (10-Bags)",Owens Corning,bag,Interior,838,USD
"5523 7/16 in. x 3 1/4 in. x 96 in. Colonial Finished PVC White Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,14.96,USD
"Pro Pack L163E 9/16 in. x 5-1/4 in. x 192 in. Primed Pine Baseboard Moulding (5-Pack − 80 Total Linear Feet)",Alexandria Moulding,pack,Interior,128,USD
"623 9/16 in. x 3 1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,13.24,USD
"12 ft. x 3-1/4 in. x 9/16 in. Vinyl Colonial Base Molding",Royal Mouldings,piece,Interior,19.98,USD
"Colonial 7527 9/16 in. D x 3 1/4 in. W x 96 in. L Primed PVC Baseboard Moulding",Royal Mouldings,piece,Interior,13.38,USD
"Pro Pack 1/2 in. x 5-1/2 in. x 144 in. Primed Pine Baseboard Moulding (4-Pack − 48 Total Linear Feet)",Alexandria Moulding,pack,Interior,118,USD
"1/2 in. x 4 1/4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",HOUSE OF FARA,piece,Interior,19.98,USD
"5/8 in. x 4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",HOUSE OF FARA,piece,Interior,16.28,USD
"Pro Pack 163 0.5625 in. x 5-1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (6-Pack − 48 Total Linear Feet)",N/A,package,Interior,108,USD
"1866 9/16 in. x 5 1/4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,19.68,USD
"WM623 1/2 in x 3-1/4 in. MDF Baseboard Molding",FINISHED ELEGANCE,linear foot,Interior,2.58,USD
"WM 126 1/2 in. x 3/4 in. Primed Finger-Jointed Pine Wood Baseboard Shoe Molding",Alexandria Moulding,linear foot,Interior,0.77,USD
"620 9/16 in. x 4-1/4 in. x 96 in. Primed Pine Finger-Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,18.46,USD
"Pro Pack 356 11/16 in. x 2 1/4 in. x 84 in. Primed Finger Jointed Casing (5-Pack − 35 Total Linear Feet)",Woodgrain Millwork,pack,Interior,41.6,USD
"White 0.62 in. T x 3.3 in. W x 94.5 in. L Base Molding",PERFORMANCE ACCESSORIES,piece,Interior,19.98,USD
"5093 3/4 in. x 3/4 in. x 96 in. Finished PVC White Inside Corner Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,6.34,USD
"11/16 in. x 5-1/2 in. x 96 in. Primed MDF Craftsman Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,20.98,USD
"5/8 in. x 3-1/2 in. x 171 in. Primed Finger-Jointed Pine Wood Casing Molding Pro-Pack (6-Pack)",Alexandria Moulding,pack,Interior,136,USD
"12 ft. x 4 in. x 1 in. Vinyl Trim Plank Molding",Royal Mouldings,piece,Interior,29.98,USD
"5523 1/2 in. x 2 40/93 in. x 96 in. Finished PVC Composite White Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,11.18,USD
"LWM 662 1/2 in. x 3-1/2 in. MDF Primed Fiberboard Baseboard Molding",Alexandria Moulding,linear foot,Interior,1.64,USD
"RMB 623 9/16 in. D x 3-1/4 in. W x 96 in. L Primed Finger-Joined Pine Baseboard Molding 1-Piece 8 ft. Total",RESO,piece,Interior,10,USD
"LWM 163E 5/8 in x 5-1/4 in. Primed Fiberboard Baseboard Molding",Alexandria Moulding,linear foot,Interior,2.67,USD
"713 9/16 in. x 3 1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,15.33,USD
"5523 7/16 in. x 3 1/4 in. x 96 in. Colonial Finished PVC White Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,14.96,USD
"Pro Pack L163E 9/16 in. x 5-1/4 in. x 192 in. Primed Pine Baseboard Moulding (5-Pack − 80 Total Linear Feet)",Alexandria Moulding,pack,Interior,128,USD
"623 9/16 in. x 3 1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,13.24,USD
"12 ft. x 3-1/4 in. x 9/16 in. Vinyl Colonial Base Molding",Royal Mouldings,piece,Interior,19.98,USD
"Colonial 7527 9/16 in. D x 3 1/4 in. W x 96 in. L Primed PVC Baseboard Moulding",Royal Mouldings,piece,Interior,13.38,USD
"Pro Pack 1/2 in. x 5-1/2 in. x 144 in. Primed Pine Baseboard Moulding (4-Pack − 48 Total Linear Feet)",Alexandria Moulding,pack,Interior,118,USD
"1/2 in. x 4 1/4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",HOUSE OF FARA,piece,Interior,19.98,USD
"5/8 in. x 4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",HOUSE OF FARA,piece,Interior,16.28,USD
"Pro Pack 163 0.5625 in. x 5-1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (6-Pack − 48 Total Linear Feet)",N/A,package,Interior,108,USD
"1866 9/16 in. x 5 1/4 in. x 96 in. Primed MDF Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,19.68,USD
"WM623 1/2 in x 3-1/4 in. MDF Baseboard Molding",FINISHED ELEGANCE,linear foot,Interior,2.58,USD
"WM 126 1/2 in. x 3/4 in. Primed Finger-Jointed Pine Wood Baseboard Shoe Molding",Alexandria Moulding,linear foot,Interior,0.77,USD
"620 9/16 in. x 4-1/4 in. x 96 in. Primed Pine Finger-Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,18.46,USD
"Pro Pack 356 11/16 in. x 2 1/4 in. x 84 in. Primed Finger Jointed Casing (5-Pack − 35 Total Linear Feet)",Woodgrain Millwork,pack,Interior,41.6,USD
"White 0.62 in. T x 3.3 in. W x 94.5 in. L Base Molding",PERFORMANCE ACCESSORIES,piece,Interior,19.98,USD
"5093 3/4 in. x 3/4 in. x 96 in. Finished PVC White Inside Corner Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,6.34,USD
"11/16 in. x 5-1/2 in. x 96 in. Primed MDF Craftsman Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,20.98,USD
"5/8 in. x 3-1/2 in. x 171 in. Primed Finger-Jointed Pine Wood Casing Molding Pro-Pack (6-Pack)",Alexandria Moulding,pack,Interior,136,USD
"12 ft. x 4 in. x 1 in. Vinyl Trim Plank Molding",Royal Mouldings,piece,Interior,29.98,USD
"5523 1/2 in. x 2 40/93 in. x 96 in. Finished PVC Composite White Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Royal Mouldings,piece,Interior,11.18,USD
"LWM 662 1/2 in. x 3-1/2 in. MDF Primed Fiberboard Baseboard Molding",Alexandria Moulding,linear foot,Interior,1.64,USD
"RMB 623 9/16 in. D x 3-1/4 in. W x 96 in. L Primed Finger-Joined Pine Baseboard Molding 1-Piece 8 ft. Total",RESO,piece,Interior,10,USD
"LWM 163E 5/8 in x 5-1/4 in. Primed Fiberboard Baseboard Molding",Alexandria Moulding,linear foot,Interior,2.67,USD
"713 9/16 in. x 3 1/4 in. x 96 in. Primed Finger Jointed Baseboard Moulding (1-Piece − 8 Total Linear Feet)",Woodgrain Millwork,piece,Interior,15.33,USD
"250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,164,USD
"250 ft. 12/2/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,349,USD
"250 ft. 12/2 Gray Solid CU UF-B W/G Wire",Southwire,roll,Electrical,197,USD
"12/2 x 250 ft. Stranded CU MC (Metal Clad) Armorlite Cable",Southwire,roll,Electrical,348.52,USD
"100 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,109,USD
"250 ft. 12 / 2 Solid Copper MC-PCS Aluminum Armored Cable",Cerrowire,roll,Electrical,423.95,USD
"250 ft. 12/2 Black Stranded CU Low-Voltage Landscape Lighting Wire",Southwire,roll,Electrical,119.77,USD
"1000 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,599,USD
"600-Volt 250 ft. 12/2 Duraclad Type BX/AC SA Lightweight Steel Armored Cable",Southwire,roll,Electrical,223,USD
"250 ft. 12/2 Red FPLP/CL3P Plenum Rated Copper Fire Alarm Wire for Smoke Detectors, Burglar, Security, UV Resistant, UL",Syston Cable Technology,roll,Electrical,143.55,USD
"12/2 x 250 ft. Solid MC Lite Cable",AFC Cable Systems,roll,Electrical,259,USD
"250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire",Southwire,roll,Electrical,114,USD
"250 FT. Black 12/2 Stranded Bare Copper Low-Voltage Landscape Lighting Wire",Syston Cable Technology,roll,Electrical,165.6,USD
"250 ft. 12/2 Solid Copper MC (Metal Clad) Aluminum Armor Cable",Cerrowire,roll,Electrical,232.2,USD
"250 ft. 12/2 Orange/Gray Conductor Solid Aluminum HCF MC Wire Cable",Southwire,roll,Electrical,286.2,USD
"250 ft. 12/2 Yellow/Gray Conductor Solid Aluminum HCF MC Wire Cable",Southwire,roll,Electrical,273.65,USD
"250 ft. 12/2 Stranded Landscape Lighting Wire 12 Gauge Oxygen-Free Copper Cable Outdoor Direct Burial Electrical Wire",Vrbgify,roll,Electrical,194.92,USD
"250 ft. 12/2 Brown/Gray Conductor Solid Aluminum HCF MC Wire Cable",Southwire,roll,Electrical,284.97,USD
"12/2 Landscape Lighting Wire 250 ft. 12 AWG 2 Conductor Stranded Solid Grounded Direct Burial Wire",Vrbgify,roll,Electrical,250.23,USD
"250 ft. 12/2 Red/White Conductors Stranded Aluminum HCF MC Wire Cable",Southwire,roll,Electrical,317.94,USD
"250 ft. 10/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,308,USD
"50 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,69,USD
"250 ft. 14/2/2 Solid Romex SIMpull CU NM-B W/G Wire",Southwire,roll,Electrical,292.48,USD
"20 Amp Single-Pole Type QP Circuit Breaker",Siemens,each,Electrical,7.71,USD
"Homeline 20 Amp Single-Pole Circuit Breaker(HOM120CP)",Square D,each,Electrical,6.98,USD
"BR 20 Amp 120/240 Volts Single Pole Circuit Breaker",Eaton,each,Electrical,8.21,USD
"Q-Line 20 Amp 1 in. Double-Pole Circuit Breaker (THQP220)",GE,each,Electrical,18.85,USD
"Homeline 2-20 Amp Single-Pole Tandem Circuit Breaker",Square D,each,Electrical,16.93,USD
"Q-Line 20 Amp 1 in. Single-Pole Circuit Breaker",GE,each,Electrical,10.29,USD
"20 Amp Double-Pole Type QP Circuit Breaker",Siemens,each,Electrical,18.6,USD
"20 Amp 1 in. Single Pole Circuit Breaker (THQL1120A)",ABB,each,Electrical,8.21,USD
"20 Amp Tandem Single Pole Type QT Circuit Breaker",Siemens,each,Electrical,18.26,USD
"BD 2-20 Amp Single Pole Tandem CTL Circuit Breaker",Eaton,each,Electrical,15.45,USD
