product_name,brand,unit,product_type,price_per_unit,currency
2 in. x 4 in. x 8 ft. African Mahogany S4S Board,Swaner Hardwood,piece,Interior,116.63,USD
2 in. x 4 in. x 4 ft. #2 Premium Grade Dimensional Lumber,ProWood,piece,Framing,2.98,USD
2 in. x 4 in. x 8 ft. Maple S4S Board,Swaner Hardwood,piece,Interior,121.02,USD
2 in. x 3 in. x 8 ft. #2 Select Grade Dimensional Lumber,N/A,piece,Framing,3.35,USD
2 in. x 4 in. x 88 in. #2 Premium Grade SPF Stud,N/A,piece,Framing,3.65,USD
2 in. x 4 in. x 2 ft. #2 Premium Grade Dimensional Lumber,ProWood,piece,Framing,1.75,USD
2 in. x 4 in. x 12 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,8.42,USD
2 in. x 4 in. x 10 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,7.23,USD
2 in. x 4 in. x 3 ft. #2 Premium Grade Dimensional Lumber,ProWood,piece,Framing,2.75,USD
2 in. x 8 in. x 8 ft. #2 Premium Grade Fir Dimensional Lumber,N/A,piece,Framing,11.12,USD
2 in. x 12 in. x 8 ft. #2 Premium Grade Fir Dimensional Lumber,N/A,piece,Framing,25.36,USD
2 in. x 4 in. x 104-5/8 in. Premium Kiln-Dried Fir Framing Lumber,N/A,piece,Framing,5.53,USD
2 in. x 6 in. x 12 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,13.83,USD
2 in. x 6 in. x 12 ft. #1 Ground Contact Pressure-Treated Southern Yellow Pine Lumber,N/A,piece,Framing,12.88,USD
4 in. x 6 in. x 12 ft. #2 Pressure-Treated Ground Contact Southern Pine Timber,N/A,piece,Framing,27.68,USD
2 in. x 4 in. x 12 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,8.42,USD
2 in. x 6 in. x 4 ft. #2 Premium Grade Dimensional Lumber,ProWood,piece,Framing,4.98,USD
2 in. x 6 in. x 16 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,19.15,USD
2 in. x 6 in. x 8 ft. # 2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,9.18,USD
2 in. x 6 in. x 10 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,11.92,USD
2 in. x 6 in. x 4 ft. Premium Ground-Contact Pressure-Treated Southern Yellow Pine Lumber,WeatherShield,piece,Framing,5.88,USD
2 in. x 6 in. x 4 ft. Premium Southern Yellow Pine Dimensional Lumber (3-Pack),ProWood,package,Framing,16.99,USD
2 in. x 6 in. x 8 ft. #1 Ground Contact Pressure-Treated Southern Yellow Pine Lumber,WeatherShield,piece,Framing,8.28,USD
2 in. x 6 in. x 16 ft. #1 Ground Contact Pressure-Treated Southern Yellow Pine Lumber,WeatherShield,piece,Framing,17.58,USD
1 in. x 2 in. x 6 ft. Premium Kiln-Dried Square Edge Whitewood Common Board,N/A,piece,Interior,3.58,USD
2 in. x 6 in. x 10 ft. #1 Ground Contact Pressure-Treated Southern Yellow Pine Lumber,WeatherShield,piece,Framing,10.58,USD
